1196,14156
6076,1284,13720
5932,1416,14208
6048,1304,14296
6032,1276,14156
6008,1336,14292
6012,1372,14216
6004,1260,14128
5952,1244,13896
5916,1356,14112
6096,1328,13912
6080,1192,14228
5988,1332,14232
6088,1292,14140
6032,1368,14308
6100,1300,14008
6080,1336,14112
6040,1296,14012
6068,1324,13992
5988,1352,14236
6060,1196,14224
5980,1352,14376
6032,1324,14072
6012,1380,14112
6000,1328,14108
5968,1320,14004
5976,1360,13840
6004,1340,14060
6044,1300,14244
6044,1292,14232
6056,1260,14296
6052,1360,14200
5824,1288,14292
5992,1224,14108
5944,1340,14036
5968,1344,14336
6052,1320,14028
6008,1404,14164
6048,1264,14448
6088,1248,14076
6112,1312,14096
6044,1284,14176
6044,1344,14176
6032,1292,14184
5992,1408,14236
6004,1364,14280
6108,1212,14148
5988,1204,14400
6092,1200,14156
6016,1328,14000
6008,1332,14076
6048,1256,13944
5948,1292,14220
6096,1348,14024
5996,1268,14428
5912,1316,14212
6040,1312,14028
6000,1284,14232
6028,1260,13936
5996,1220,14084
5972,1300,14188
6056,1324,14224
6052,1328,14244
6140,1388,14276
6056,1392,14176
6028,1384,14160
5948,1228,14008
5992,1196,14020
6056,1260,13972
6104,1288,14100
6000,1352,14252
5992,1236,14432
6072,1352,14280
6072,1428,14140
6040,1236,13992
5988,1352,13968
5912,1256,14124
6088,1264,13932
6016,1332,14272
6024,1344,14212
6028,1312,14152
5968,1348,14204
6040,1324,14120
6036,1364,14156
6096,1260,13944
6088,1284,14108
6040,1316,14188
6004,1292,14284
6020,1336,14284
6056,1268,14244
5924,1368,14184
6000,1236,14048
5972,1316,14224
6016,1320,14200
6020,1348,14116
6140,1392,14216
6072,1324,14340
6028,1260,14228
5952,1308,14168
6020,1292,14092
5956,1292,14092
5920,1308,14072
6020,1276,14148
6044,1428,14164
6044,1248,14116
6056,1204,14236
6040,1356,14196
6016,1296,14060
6084,1296,14124
5952,1300,14192
6040,1296,14152
6068,1292,14176
5996,1436,14284
5964,1332,14208
6068,1264,14232
6124,1332,14104
5924,1340,14180
5880,1188,14024
6044,1284,14056
5972,1336,14244
6056,1348,14128
5968,1336,14172
6024,1384,14076
5984,1332,14136
5932,1376,14124
5936,1232,14016
6024,1240,13948
6016,1272,14052
6028,1180,13988
6188,1292,14248
6052,1376,14220
5944,1300,14232
5996,1332,14260
5992,1336,13944
5944,1248,14084
6012,1416,14108
6092,1444,14160
6040,1308,14184
6076,1396,14268
6072,1268,14288
6052,1204,14076
5940,1272,14052
5960,1328,14124
5948,1368,14052
5992,1340,14224
6116,1392,14252
6108,1408,14136
6128,1360,14308
5992,1244,14152
5968,1284,14132
5964,1356,14052
5972,1340,13944
5932,1348,14056
5984,1380,14092
6124,1356,14204
6044,1292,14308
6044,1340,14200
6104,1356,14216
5976,1268,14188
6020,1288,14124
6132,1316,14088
6128,1360,14144
6052,1356,14044
6064,1368,14344
6052,1372,14408
6036,1304,14360
6108,1300,14128
6100,1268,14064
6036,1316,14136
5916,1376,14260
6092,1308,14148
6152,1308,14328
6100,1292,14356
6044,1424,14084
6080,1276,13996
5968,1260,14048
5916,1328,14220
5924,1256,14032
6060,1300,13984
6140,1236,14192
5940,1348,14372
6072,1332,14108
6172,1376,14144
5996,1264,14036
6000,1316,14124
5996,1236,14100
5968,1220,14400
6036,1340,14100
6052,1348,14116
6044,1372,14212
6056,1228,14328
5868,1204,14184
6028,1208,14096
6024,1276,14212
6044,1368,14060
6164,1456,14108
